ticker,empresa,published_at_utc,publisher,title,summary,link,relevance_score,relevance_label,impact_label,impact_confidence,themes,entities,top_keywords,positive_signals,negative_signals
PETR4.SA,Petrobras,,"{'displayName': 'Offshore Technology', 'url': 'https://www.globaldata.com/', 'sourceId': 'offshore_technology_431'}",Subsea7 secures Sépia 2 field contract from Petrobras,"The Sépia 2 project is part of Brazil’s pre-salt expansion, a central focus for offshore investment.",https://www.offshore-technology.com/news/subsea7-sepia2-field-contract-petrobras/,21,alta,neutro,0.35,petroleo,"petrobras, pre-sal","sépia, brazil, central, contract, expansion, field, focus, from, investment, offshore, part, petrobras",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Can Petrobras' Pre-Salt Dominance Keep Driving Strong Growth? (Revised),"PBR's pre-salt edge drives output growth, low costs and new discoveries, making it sustainable for long-term production and cash flow strength.",https://finance.yahoo.com/sectors/energy/articles/petrobras-pre-salt-dominance-keep-060800726.html,21,alta,neutro,0.35,petroleo,"pbr, petrobras, pre-sal","growth, pre-salt, can, cash, costs, discoveries, dominance, drives, driving, edge, flow, keep",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Can Petrobras' Pre-Salt Dominance Keep Driving Strong Growth?,"PBR's pre-salt edge drives output growth, low costs and new discoveries, making it sustainable for long-term production and cash flow strength.",https://finance.yahoo.com/sectors/energy/articles/petrobras-pre-salt-dominance-keep-140500043.html,21,alta,neutro,0.35,petroleo,"pbr, petrobras, pre-sal","growth, pre-salt, can, cash, costs, discoveries, dominance, drives, driving, edge, flow, keep",,
PETR4.SA,Petrobras,,"{'displayName': 'Insider Monkey', 'url': 'http://www.insidermonkey.com', 'sourceId': 'insidermonkey.com'}",Is Petroleo Brasileiro (PBR) One of the Must-Buy Non-Tech Stocks to Invest in Now?,"Petroleo Brasileiro (NYSE:PBR) is among the must-buy non-tech stocks to invest in now. On March 26, UBS boosted its price target on Petroleo Brasileiro (NYSE:PBR) to $22 from $14.60 while reiterating a Buy rating on the stock. The equity research firm pointed to the company’s strong cash generation and solid dividend yield as factors for […]",https://finance.yahoo.com/markets/stocks/articles/petroleo-brasileiro-pbr-one-must-090701571.html,21,alta,positivo,0.65,"petroleo, dividendos","pbr, petroleo brasileiro","brasileiro, pbr, petroleo, invest, must-buy, non-tech, now, nyse, stocks, among, boosted, buy",tema dividendos,
PETR4.SA,Petrobras,,"{'displayName': 'Insider Monkey', 'url': 'http://www.insidermonkey.com', 'sourceId': 'insidermonkey.com'}",Jim Cramer on Petrobras: “I Wish I Could Have Recommended It Earlier”,"Petróleo Brasileiro S.A. – Petrobras (NYSE:PBR) is among Jim Cramer’s latest stock calls as he covered Exxon, Lockheed, and others. Toward the end of the lightning round, answering a caller’s question about the stock, Cramer remarked: This stock has had quite a run. It’s a parabolic move. I wish I could have recommended it earlier. […]",https://finance.yahoo.com/markets/stocks/articles/jim-cramer-petrobras-wish-could-032557916.html,17,media,neutro,0.35,petroleo,"pbr, petrobras, petróleo brasileiro","cramer, stock, could, earlier, have, jim, petrobras, recommended, wish, about, among, answering",,
PETR4.SA,Petrobras,,"{'displayName': 'Oilprice.com', 'url': 'http://oilprice.com', 'sourceId': 'oilprice.com'}",Petrobras Moves to Reclaim Full Control of Key Campos Basin Assets,Petrobras has signed a $450 million agreement to reacquire full ownership of the Tartaruga Verde field and the Espadarte Module III project from Petronas.,https://finance.yahoo.com/sectors/energy/articles/petrobras-moves-reclaim-full-control-043032709.html,14,media,neutro,0.35,,petrobras,"full, petrobras, 450, agreement, assets, basin, campos, control, espadarte, field, from, has",,
PETR4.SA,Petrobras,,"{'displayName': 'Insider Monkey', 'url': 'http://www.insidermonkey.com', 'sourceId': 'insidermonkey.com'}",What the Petrobras Contract Means for Valaris Limited (VAL)’s Future,"Valaris Limited (NYSE:VAL) is among the most profitable stocks in each sector so far in 2026. On April 6, Valaris Limited (NYSE:VAL) announced it had won a 1,064-day contract extension with Petrobras for the drillship VALARIS DS-4, which will operate offshore Brazil. Planned to begin in November next year, after the completion of the existing […]",https://finance.yahoo.com/markets/stocks/articles/petrobras-contract-means-valaris-limited-214440678.html,14,media,neutro,0.35,,petrobras,"valaris, limited, val, contract, nyse, petrobras, 064-day, 2026, after, among, announced, april",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Petrobras (PBR) Stock Falls Amid Market Uptick: What Investors Need to Know,"Petrobras (PBR) closed the most recent trading day at $19.98, moving 3.52% from the previous trading session.",https://finance.yahoo.com/markets/stocks/articles/petrobras-pbr-stock-falls-amid-215002155.html,14,media,neutro,0.35,,"pbr, petrobras","pbr, petrobras, trading, amid, closed, day, falls, from, investors, know, market, most",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Petrobras Extends Offshore Drilling Deals With Valaris and Seadrill,"PBR extends major offshore drilling contracts with Valaris and Seadrill, reinforcing its deepwater strategy in Brazil's Santos Basin.",https://finance.yahoo.com/sectors/energy/articles/petrobras-extends-offshore-drilling-deals-123600932.html,14,media,neutro,0.35,,"pbr, petrobras","drilling, extends, offshore, seadrill, valaris, with, basin, brazil, contracts, deals, deepwater, its",,
PETR4.SA,Petrobras,,"{'displayName': 'Oilprice.com', 'url': 'http://oilprice.com', 'sourceId': 'oilprice.com'}",Petrobras Shakes Up Leadership Amid Governance Transition,Petrobras has implemented a series of leadership changes across its board and executive ranks as part of an ongoing governance transition ahead of its upcoming shareholder meeting.,https://finance.yahoo.com/sectors/energy/articles/petrobras-shakes-leadership-amid-governance-021500094.html,14,media,neutro,0.35,,petrobras,"governance, its, leadership, petrobras, transition, across, ahead, amid, board, changes, executive, has",,
